,source,target,origin,prediction
0,dhrtarastra uvaca,dhṛtarāṣṭra uvāca,pdf,dhṛtarastra uvāca
1,dharma-ksetre kuru-ksetre samaveta yuyutsavah,dharma-kṣetre kuru-kṣetre samavetā yuyutsavaḥ,pdf,dharma-kṣetre kuru-kṣetre samaveta yuyutsavaḥ
2,mamakah pandavas caiva kim akurvata sanjaya,māmakāḥ pāṇḍavāś caiva kim akurvata sañjaya,pdf,mamakaḥ pandavas caiva kim akurvata sanjaya
3,karpanya-dosopahata-svabhavah,kārpaṇya-doṣopahata-svabhāvaḥ,pdf,karpaṇya-doṣopaḥata-svabhavaḥ
4,prechami tvam dharma-sammudha-cetah,pṛcchāmi tvāṁ dharma-sammūḍha-cetāḥ,pdf,prechaṁi tvaṁ dharma-sammudha-cetaḥ
5,yac chreyah syan niscitam bruhi tan me,yac chreyaḥ syān niścitaṁ brūhi tan me,pdf,yac chreyaḥ syan niścitaṁ bruhi tan me
6,sisyas te 'ham sadhi mam tvam prapannam,śiṣyas te ’haṁ śādhi māṁ tvāṁ prapannam,pdf,siṣyas te ’haṁ sadhi mam tvaṁ prapannam
7,sri-bhagavan uvaca,śrī-bhagavān uvāca,pdf,srī-bhagavan uvaca
8,asocyan anvasocas tvam prajna-vadams ca bhasase,aśocyān anvaśocas tvaṁ prajñā-vādāṁś ca bhāṣase,pdf,asocyan anvasocas tvaṁ prajña-vadaṁs ca bhasase
9,gatasun agatasums ca nanusocanti panditah,gatāsūn agatāsūṁś ca nānuśocanti paṇḍitāḥ,pdf,gatasun agatasums ca nanuṣocanti panditaḥ
10,na tv evaham jatu nasam na tvam neme janadhipah,na tv evāhaṁ jātu nāsaṁ na tvaṁ neme janādhipāḥ,pdf,na tv evaḥaṁ jatu nasam na tvam neme janadhipaḥ
11,na caiva na bhavisyamah sarve vayam atah param,na caiva na bhaviṣyāmaḥ sarve vayam ataḥ param,pdf,na caiva na bhaviṣyamaḥ sarve vayaṁ ataḥ param
12,dehino 'smin yatha dehe kaumaram yauvanam jara,dehino ’smin yathā dehe kaumāraṁ yauvanaṁ jarā,pdf,dehino ’smin yatha dehe kaumaraṁ yauvanaṁ jara
13,tatha dehantara-praptir dhiras tatra na muhyati,tathā dehāntara-prāptir dhīras tatra na muhyati,pdf,tathā dehantara-praptir dhiras tatra na muhyati
14,matra-sparsas tu kaunteya sitosna-sukha-duhkha-dah,mātrā-sparśās tu kaunteya śītoṣṇa-sukha-duḥkha-dāḥ,pdf,matra-sparṣas tu kaunteya sitoṣṇa-sukha-duḥkha-dah
15,agamapayino 'nityas tams titiksasva bharata,āgamāpāyino ’nityās tāṁs titikṣasva bhārata,pdf,agamapayino ’nityas tams titikṣasva bharata
16,avinasi tu tad viddhi yena sarvam idam tatam,avināśi tu tad viddhi yena sarvam idaṁ tatam,pdf,avināsi tu tad viddhi yena sarvaṁ idam tatam
17,vinasam avyayasyasya na kascit kartum arhati,vināśam avyayasyāsya na kaścit kartum arhati,pdf,vināsaṁ avyayasyasya na kascit kartum arhati
18,na jayate mriyate va kadacin nayam bhutva bhavita va na bhuyah,na jāyate mriyate vā kadācin nāyaṁ bhūtvā bhavitā vā na bhūyaḥ,pdf,na jayate mṛiyate va kadacin nayam bhūtva bhavita 
19,ajo nityah sasvato 'yam purano na hanyate hanyamane sarire,ajo nityaḥ śāśvato ’yaṁ purāṇo na hanyate hanyamāne śarīre,pdf,ajo nityaḥ sasvato ’yam puraṇo na hanyate hanyaṁan
20,vasamsi jirnani yatha vihaya,vāsāṁsi jīrṇāni yathā vihāya,pdf,vasaṁsi jirṇani yatha vihāya
21,navani grhnati naro 'parani,navāni gṛhṇāti naro ’parāṇi,pdf,navani gṛhṇati naro ’paraṇi
22,tatha sarirani vihaya jirnany,tathā śarīrāṇi vihāya jīrṇāny,pdf,tathā sariraṇi vihāya jirṇany
23,anyani samyati navani dehi,anyāni saṁyāti navāni dehī,pdf,anyani samyati navani dehi
24,nainam chindanti sastrani nainam dahati pavakah,nainaṁ chindanti śastrāṇi nainaṁ dahati pāvakaḥ,pdf,nainaṁ chindanti sastraṇi nainam dahati pavakaḥ
